"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Robert Stock","SDP","9.48","3.75","2.52","0.54","23.9%","9.5%","14.4%",".258","1.43",".338","67.8%","101","79","101","4.11","3.27","0.84","4.18","3.83","6576","476594"
"Ryan Madson","- - -","8.56","2.22","3.86","0.79","23.6%","6.1%","17.5%",".230","1.11",".285","75.5%","78","80","83","3.19","3.27","-0.08","3.48","3.24","1852","425492"
"Ryan Pressly","- - -","10.04","2.73","3.67","0.93","26.9%","7.3%","19.6%",".228","1.17",".295","76.8%","76","76","79","3.29","3.27","0.02","3.36","3.20","7005","519151"
"James Paxton","- - -","10.25","2.65","3.87","1.02","27.4%","7.1%","20.3%",".240","1.22",".312","73.5%","87","76","81","3.63","3.28","0.35","3.51","3.58","11828","572020"
"Giovanny Gallegos","- - -","10.82","2.04","5.29","1.19","30.8%","5.8%","25.0%",".197","0.95",".254","80.3%","70","75","83","2.98","3.28","-0.30","3.66","3.04","14986","606149"
"Brad Hand","- - -","10.86","3.08","3.52","0.92","29.0%","8.2%","20.8%",".224","1.18",".302","76.8%","83","81","82","3.36","3.29","0.07","3.41","3.15","9111","543272"
"Shane Bieber","CLE","10.31","1.72","5.98","1.20","28.1%","4.7%","23.4%",".248","1.15",".319","74.1%","82","75","73","3.72","3.29","0.43","3.26","3.39","19427","669456"
"Fernando Rodriguez","OAK","9.24","3.71","2.49","0.63","25.2%","10.1%","15.1%",".202","1.15",".261","65.9%","99","81","99","3.99","3.30","0.69","4.09","3.61","7558","451775"
"Jose Leclerc","TEX","12.51","5.63","2.22","0.58","33.0%","14.8%","18.1%",".167","1.21",".253","73.8%","65","72","96","3.18","3.30","-0.12","4.23","3.79","14524","600917"
"Tommy Kahnle","- - -","12.03","4.33","2.78","0.91","31.4%","11.3%","20.1%",".222","1.31",".315","71.9%","84","75","78","3.72","3.31","0.41","3.32","3.30","11384","592454"
"Kirby Yates","- - -","13.02","2.79","4.67","1.30","35.0%","7.5%","27.5%",".209","1.10",".297","78.6%","81","79","73","3.35","3.31","0.04","3.08","2.54","9073","489446"
"Justin Wilson","- - -","10.75","4.11","2.61","0.76","28.3%","10.8%","17.5%",".225","1.30",".307","77.0%","81","78","86","3.38","3.31","0.07","3.65","3.50","4301","458677"
"Anthony Varvaro","BOS","6.55","4.91","1.33","0.00","15.7%","11.8%","3.9%",".311","1.82",".378","75.0%","98","83","112","4.09","3.32","0.78","4.52","4.61","2385","460008"
